Category,Count,Acreage,State,Average of Very Unhealthy Days,Average of Hazardous Days,Average of Max AQI,Average of 90th Percentile AQI,Average of Days CO,Average of Median AQI,Average of Days NO2,Average of Days Ozone,Average of Days SO2,Average of Days PM2.5,Average of Days PM10,Average of Good Days,Average of Moderate Days,Average of Unhealthy for Sensitive Groups Days,Average of Unhealthy Days,Commercial,Electric Power,Residential,Industrial,Transportation,Total
 Developed/Open Space,9946145,2211969.4,NC,0.0,0.0,79.05263158,45.23684211,0.026315789,31.05263158,1.315789474,183.2894737,29.23684211,101.2631579,6.342105263,301.3421053,19.97368421,0.157894737,0.0,5.2,48.4,5.5,10.7,54.9,124.8
 Developed/Low Intensity,4121817,916670.0,NC,0.0,0.0,79.05263158,45.23684211,0.026315789,31.05263158,1.315789474,183.2894737,29.23684211,101.2631579,6.342105263,301.3421053,19.97368421,0.157894737,0.0,5.2,48.4,5.5,10.7,54.9,124.8
 Developed/Medium Intensity,1441278,320532.5,NC,0.0,0.0,79.05263158,45.23684211,0.026315789,31.05263158,1.315789474,183.2894737,29.23684211,101.2631579,6.342105263,301.3421053,19.97368421,0.157894737,0.0,5.2,48.4,5.5,10.7,54.9,124.8
 Developed/High Intensity,515611,114669.1,NC,0.0,0.0,79.05263158,45.23684211,0.026315789,31.05263158,1.315789474,183.2894737,29.23684211,101.2631579,6.342105263,301.3421053,19.97368421,0.157894737,0.0,5.2,48.4,5.5,10.7,54.9,124.8
 Barren,282701,62871.2,NC,0.0,0.0,79.05263158,45.23684211,0.026315789,31.05263158,1.315789474,183.2894737,29.23684211,101.2631579,6.342105263,301.3421053,19.97368421,0.157894737,0.0,5.2,48.4,5.5,10.7,54.9,124.8
 Deciduous Forest,31842502,7081602.0,NC,0.0,0.0,79.05263158,45.23684211,0.026315789,31.05263158,1.315789474,183.2894737,29.23684211,101.2631579,6.342105263,301.3421053,19.97368421,0.157894737,0.0,5.2,48.4,5.5,10.7,54.9,124.8
 Evergreen Forest,22804979,5071705.2,NC,0.0,0.0,79.05263158,45.23684211,0.026315789,31.05263158,1.315789474,183.2894737,29.23684211,101.2631579,6.342105263,301.3421053,19.97368421,0.157894737,0.0,5.2,48.4,5.5,10.7,54.9,124.8
 Mixed Forest,13341493,2967076.6,NC,0.0,0.0,79.05263158,45.23684211,0.026315789,31.05263158,1.315789474,183.2894737,29.23684211,101.2631579,6.342105263,301.3421053,19.97368421,0.157894737,0.0,5.2,48.4,5.5,10.7,54.9,124.8
 Shrubland,2562742,569940.1,NC,0.0,0.0,79.05263158,45.23684211,0.026315789,31.05263158,1.315789474,183.2894737,29.23684211,101.2631579,6.342105263,301.3421053,19.97368421,0.157894737,0.0,5.2,48.4,5.5,10.7,54.9,124.8
 Grass/Pasture,6001013,1334593.2,NC,0.0,0.0,79.05263158,45.23684211,0.026315789,31.05263158,1.315789474,183.2894737,29.23684211,101.2631579,6.342105263,301.3421053,19.97368421,0.157894737,0.0,5.2,48.4,5.5,10.7,54.9,124.8
 Woody Wetlands,21809702,4850361.0,NC,0.0,0.0,79.05263158,45.23684211,0.026315789,31.05263158,1.315789474,183.2894737,29.23684211,101.2631579,6.342105263,301.3421053,19.97368421,0.157894737,0.0,5.2,48.4,5.5,10.7,54.9,124.8
 Herbaceous Wetlands,1236730,275042.1,NC,0.0,0.0,79.05263158,45.23684211,0.026315789,31.05263158,1.315789474,183.2894737,29.23684211,101.2631579,6.342105263,301.3421053,19.97368421,0.157894737,0.0,5.2,48.4,5.5,10.7,54.9,124.8
 Triticale,1261,280.4,NC,0.0,0.0,79.05263158,45.23684211,0.026315789,31.05263158,1.315789474,183.2894737,29.23684211,101.2631579,6.342105263,301.3421053,19.97368421,0.157894737,0.0,5.2,48.4,5.5,10.7,54.9,124.8
 Cantaloupes,2293,510.0,NC,0.0,0.0,79.05263158,45.23684211,0.026315789,31.05263158,1.315789474,183.2894737,29.23684211,101.2631579,6.342105263,301.3421053,19.97368421,0.157894737,0.0,5.2,48.4,5.5,10.7,54.9,124.8
 Honeydew Melons,64,14.2,NC,0.0,0.0,79.05263158,45.23684211,0.026315789,31.05263158,1.315789474,183.2894737,29.23684211,101.2631579,6.342105263,301.3421053,19.97368421,0.157894737,0.0,5.2,48.4,5.5,10.7,54.9,124.8
 Broccoli,711,158.1,NC,0.0,0.0,79.05263158,45.23684211,0.026315789,31.05263158,1.315789474,183.2894737,29.23684211,101.2631579,6.342105263,301.3421053,19.97368421,0.157894737,0.0,5.2,48.4,5.5,10.7,54.9,124.8
 Peppers,1003,223.1,NC,0.0,0.0,79.05263158,45.23684211,0.026315789,31.05263158,1.315789474,183.2894737,29.23684211,101.2631579,6.342105263,301.3421053,19.97368421,0.157894737,0.0,5.2,48.4,5.5,10.7,54.9,124.8
 Greens,2120,471.5,NC,0.0,0.0,79.05263158,45.23684211,0.026315789,31.05263158,1.315789474,183.2894737,29.23684211,101.2631579,6.342105263,301.3421053,19.97368421,0.157894737,0.0,5.2,48.4,5.5,10.7,54.9,124.8
 Strawberries,401,89.2,NC,0.0,0.0,79.05263158,45.23684211,0.026315789,31.05263158,1.315789474,183.2894737,29.23684211,101.2631579,6.342105263,301.3421053,19.97368421,0.157894737,0.0,5.2,48.4,5.5,10.7,54.9,124.8
 Squash,4063,903.6,NC,0.0,0.0,79.05263158,45.23684211,0.026315789,31.05263158,1.315789474,183.2894737,29.23684211,101.2631579,6.342105263,301.3421053,19.97368421,0.157894737,0.0,5.2,48.4,5.5,10.7,54.9,124.8
 Dbl Crop WinWht/Corn,44049,9796.3,NC,0.0,0.0,79.05263158,45.23684211,0.026315789,31.05263158,1.315789474,183.2894737,29.23684211,101.2631579,6.342105263,301.3421053,19.97368421,0.157894737,0.0,5.2,48.4,5.5,10.7,54.9,124.8
 Dbl Crop Oats/Corn,1461,324.9,NC,0.0,0.0,79.05263158,45.23684211,0.026315789,31.05263158,1.315789474,183.2894737,29.23684211,101.2631579,6.342105263,301.3421053,19.97368421,0.157894737,0.0,5.2,48.4,5.5,10.7,54.9,124.8
 Dbl Crop Triticale/Corn,7631,1697.1,NC,0.0,0.0,79.05263158,45.23684211,0.026315789,31.05263158,1.315789474,183.2894737,29.23684211,101.2631579,6.342105263,301.3421053,19.97368421,0.157894737,0.0,5.2,48.4,5.5,10.7,54.9,124.8
 Pumpkins,4926,1095.5,NC,0.0,0.0,79.05263158,45.23684211,0.026315789,31.05263158,1.315789474,183.2894737,29.23684211,101.2631579,6.342105263,301.3421053,19.97368421,0.157894737,0.0,5.2,48.4,5.5,10.7,54.9,124.8
 Dbl Crop WinWht/Sorghum,6324,1406.4,NC,0.0,0.0,79.05263158,45.23684211,0.026315789,31.05263158,1.315789474,183.2894737,29.23684211,101.2631579,6.342105263,301.3421053,19.97368421,0.157894737,0.0,5.2,48.4,5.5,10.7,54.9,124.8
 Dbl Crop Barley/Corn,13200,2935.6,NC,0.0,0.0,79.05263158,45.23684211,0.026315789,31.05263158,1.315789474,183.2894737,29.23684211,101.2631579,6.342105263,301.3421053,19.97368421,0.157894737,0.0,5.2,48.4,5.5,10.7,54.9,124.8
 Dbl Crop WinWht/Cotton,1247,277.3,NC,0.0,0.0,79.05263158,45.23684211,0.026315789,31.05263158,1.315789474,183.2894737,29.23684211,101.2631579,6.342105263,301.3421053,19.97368421,0.157894737,0.0,5.2,48.4,5.5,10.7,54.9,124.8
 Dbl Crop Soybeans/Cotton,213,47.4,NC,0.0,0.0,79.05263158,45.23684211,0.026315789,31.05263158,1.315789474,183.2894737,29.23684211,101.2631579,6.342105263,301.3421053,19.97368421,0.157894737,0.0,5.2,48.4,5.5,10.7,54.9,124.8
 Dbl Crop Soybeans/Oats,20495,4558.0,NC,0.0,0.0,79.05263158,45.23684211,0.026315789,31.05263158,1.315789474,183.2894737,29.23684211,101.2631579,6.342105263,301.3421053,19.97368421,0.157894737,0.0,5.2,48.4,5.5,10.7,54.9,124.8
 Dbl Crop Corn/Soybeans,400,89.0,NC,0.0,0.0,79.05263158,45.23684211,0.026315789,31.05263158,1.315789474,183.2894737,29.23684211,101.2631579,6.342105263,301.3421053,19.97368421,0.157894737,0.0,5.2,48.4,5.5,10.7,54.9,124.8
 Blueberries,22803,5071.3,NC,0.0,0.0,79.05263158,45.23684211,0.026315789,31.05263158,1.315789474,183.2894737,29.23684211,101.2631579,6.342105263,301.3421053,19.97368421,0.157894737,0.0,5.2,48.4,5.5,10.7,54.9,124.8
 Cabbage,1101,244.9,NC,0.0,0.0,79.05263158,45.23684211,0.026315789,31.05263158,1.315789474,183.2894737,29.23684211,101.2631579,6.342105263,301.3421053,19.97368421,0.157894737,0.0,5.2,48.4,5.5,10.7,54.9,124.8
 Turnips,21,4.7,NC,0.0,0.0,79.05263158,45.23684211,0.026315789,31.05263158,1.315789474,183.2894737,29.23684211,101.2631579,6.342105263,301.3421053,19.97368421,0.157894737,0.0,5.2,48.4,5.5,10.7,54.9,124.8
 Dbl Crop Barley/Soybeans,22527,5009.9,NC,0.0,0.0,79.05263158,45.23684211,0.026315789,31.05263158,1.315789474,183.2894737,29.23684211,101.2631579,6.342105263,301.3421053,19.97368421,0.157894737,0.0,5.2,48.4,5.5,10.7,54.9,124.8
 Corn,15353215,3414472.8,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Cotton,1302665,289705.7,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Rice,909447,202256.1,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Sorghum,70385,15653.2,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Soybeans,26239454,5835514.1,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Sunflowers,419,93.2,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Peanuts,52900,11764.7,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Sweet Corn,694,154.3,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Pop or Orn Corn,67315,14970.5,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Barley,676,150.3,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Winter Wheat,189926,42238.5,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Dbl Crop WinWht/Soybeans,1219070,271114.6,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Rye,4448,989.2,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Oats,10790,2399.6,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Millet,2951,656.3,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Alfalfa,172635,38393.1,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Other Hay/Non Alfalfa,9226735,2051976.5,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Dry Beans,607,135.0,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Potatoes,1256,279.3,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Other Crops,1432,318.5,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Misc Vegs & Fruits,384,85.4,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Watermelons,1297,288.4,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Peas,18,4.0,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Herbs,1099,244.4,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Clover/Wildflowers,18857,4193.7,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Sod/Grass Seed,51751,11509.1,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Switchgrass,24,5.3,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Fallow/Idle Cropland,765813,170312.7,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Peaches,3431,763.0,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Apples,1060,235.7,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Grapes,94,20.9,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Christmas Trees,14,3.1,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Pecans,12683,2820.6,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Open Water,3078926,684736.7,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Developed/Open Space,7443527,1655400.6,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Developed/Low Intensity,3718348,826940.7,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Developed/Medium Intensity,1239199,275591.2,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Developed/High Intensity,479264,106585.7,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Barren,310041,68951.5,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Deciduous Forest,74282807,16520098.6,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Evergreen Forest,2029822,451421.5,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Mixed Forest,5818915,1294095.5,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Shrubland,151469,33685.9,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Grass/Pasture,42653971,9486014.8,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Woody Wetlands,3061375,680833.4,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Herbaceous Wetlands,622350,138407.3,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Triticale,1695,377.0,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Vetch,162,36.0,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Dbl Crop WinWht/Corn,6044,1344.2,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Dbl Crop Oats/Corn,11,2.4,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Dbl Crop Triticale/Corn,115,25.6,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Pumpkins,49,10.9,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Dbl Crop WinWht/Sorghum,4602,1023.5,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Dbl Crop Barley/Corn,115,25.6,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Dbl Crop Soybeans/Oats,819,182.1,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Dbl Crop Corn/Soybeans,104,23.1,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Cabbage,29,6.4,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Eggplants,16,3.6,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Dbl Crop Barley/Soybeans,1717,381.9,MO,0.0,0.0,107.125,53.16666667,0.0,35.91666667,2.375,158.9583333,51.25,76.25,16.41666667,258.1666667,36.29166667,7.416666667,3.375,4.9,65.5,7.2,8.5,38.6,124.7
 Corn,33176,7378.2,NV,0.444444444,0.111111111,202.5555556,62.44444444,0.0,36.22222222,2.333333333,195.1111111,0.0,78.66666667,87.55555556,286.0,66.0,7.0,4.111111111,2.4,13.7,2.4,3.8,18.7,41.0
 Sorghum,3487,775.5,NV,0.444444444,0.111111111,202.5555556,62.44444444,0.0,36.22222222,2.333333333,195.1111111,0.0,78.66666667,87.55555556,286.0,66.0,7.0,4.111111111,2.4,13.7,2.4,3.8,18.7,41.0
 Mint,4635,1030.8,NV,0.444444444,0.111111111,202.5555556,62.44444444,0.0,36.22222222,2.333333333,195.1111111,0.0,78.66666667,87.55555556,286.0,66.0,7.0,4.111111111,2.4,13.7,2.4,3.8,18.7,41.0
 Barley,3823,850.2,NV,0.444444444,0.111111111,202.5555556,62.44444444,0.0,36.22222222,2.333333333,195.1111111,0.0,78.66666667,87.55555556,286.0,66.0,7.0,4.111111111,2.4,13.7,2.4,3.8,18.7,41.0
 Spring Wheat,30767,6842.4,NV,0.444444444,0.111111111,202.5555556,62.44444444,0.0,36.22222222,2.333333333,195.1111111,0.0,78.66666667,87.55555556,286.0,66.0,7.0,4.111111111,2.4,13.7,2.4,3.8,18.7,41.0
 Winter Wheat,25931,5766.9,NV,0.444444444,0.111111111,202.5555556,62.44444444,0.0,36.22222222,2.333333333,195.1111111,0.0,78.66666667,87.55555556,286.0,66.0,7.0,4.111111111,2.4,13.7,2.4,3.8,18.7,41.0
 Rye,3580,796.2,NV,0.444444444,0.111111111,202.5555556,62.44444444,0.0,36.22222222,2.333333333,195.1111111,0.0,78.66666667,87.55555556,286.0,66.0,7.0,4.111111111,2.4,13.7,2.4,3.8,18.7,41.0
 Oats,3957,880.0,NV,0.444444444,0.111111111,202.5555556,62.44444444,0.0,36.22222222,2.333333333,195.1111111,0.0,78.66666667,87.55555556,286.0,66.0,7.0,4.111111111,2.4,13.7,2.4,3.8,18.7,41.0
 Millet,143,31.8,NV,0.444444444,0.111111111,202.5555556,62.44444444,0.0,36.22222222,2.333333333,195.1111111,0.0,78.66666667,87.55555556,286.0,66.0,7.0,4.111111111,2.4,13.7,2.4,3.8,18.7,41.0
 Alfalfa,1735794,386031.3,NV,0.444444444,0.111111111,202.5555556,62.44444444,0.0,36.22222222,2.333333333,195.1111111,0.0,78.66666667,87.55555556,286.0,66.0,7.0,4.111111111,2.4,13.7,2.4,3.8,18.7,41.0
 Other Hay/Non Alfalfa,617185,137258.6,NV,0.444444444,0.111111111,202.5555556,62.44444444,0.0,36.22222222,2.333333333,195.1111111,0.0,78.66666667,87.55555556,286.0,66.0,7.0,4.111111111,2.4,13.7,2.4,3.8,18.7,41.0
 Potatoes,19479,4332.0,NV,0.444444444,0.111111111,202.5555556,62.44444444,0.0,36.22222222,2.333333333,195.1111111,0.0,78.66666667,87.55555556,286.0,66.0,7.0,4.111111111,2.4,13.7,2.4,3.8,18.7,41.0
 Other Crops,2817,626.5,NV,0.444444444,0.111111111,202.5555556,62.44444444,0.0,36.22222222,2.333333333,195.1111111,0.0,78.66666667,87.55555556,286.0,66.0,7.0,4.111111111,2.4,13.7,2.4,3.8,18.7,41.0
 Onions,6379,1418.7,NV,0.444444444,0.111111111,202.5555556,62.44444444,0.0,36.22222222,2.333333333,195.1111111,0.0,78.66666667,87.55555556,286.0,66.0,7.0,4.111111111,2.4,13.7,2.4,3.8,18.7,41.0
 Peas,437,97.2,NV,0.444444444,0.111111111,202.5555556,62.44444444,0.0,36.22222222,2.333333333,195.1111111,0.0,78.66666667,87.55555556,286.0,66.0,7.0,4.111111111,2.4,13.7,2.4,3.8,18.7,41.0
 Sod/Grass Seed,2297,510.8,NV,0.444444444,0.111111111,202.5555556,62.44444444,0.0,36.22222222,2.333333333,195.1111111,0.0,78.66666667,87.55555556,286.0,66.0,7.0,4.111111111,2.4,13.7,2.4,3.8,18.7,41.0
 Fallow/Idle Cropland,233202,51862.9,NV,0.444444444,0.111111111,202.5555556,62.44444444,0.0,36.22222222,2.333333333,195.1111111,0.0,78.66666667,87.55555556,286.0,66.0,7.0,4.111111111,2.4,13.7,2.4,3.8,18.7,41.0
 Open Water,1279996,284664.3,NV,0.444444444,0.111111111,202.5555556,62.44444444,0.0,36.22222222,2.333333333,195.1111111,0.0,78.66666667,87.55555556,286.0,66.0,7.0,4.111111111,2.4,13.7,2.4,3.8,18.7,41.0
 Developed/Open Space,1204581,267892.4,NV,0.444444444,0.111111111,202.5555556,62.44444444,0.0,36.22222222,2.333333333,195.1111111,0.0,78.66666667,87.55555556,286.0,66.0,7.0,4.111111111,2.4,13.7,2.4,3.8,18.7,41.0
